ticker,epic,instrument_name,currency,market_status,expiry,instrument_type,search_term
UHR,EJ.D.UHR.CASH.IP,Swatch Group AG - B,N/A,TRADEABLE,-,SHARES,SW
SWMA,EH.D.SWMA.CASH.IP,Swedish Match AB,N/A,OFFLINE,-,SHARES,SW
SXTCUS,UD.D.SXTCUS.CASH.IP,China SXT Pharmaceuticals Inc,N/A,TRADEABLE,-,SHARES,SX
SXR8GY,ED.D.SXR8GY.CASH.IP,iShares Core S&P 500 UCITS ETF - SXR8,N/A,TRADEABLE,-,SHARES,SX
SYUS,UD.D.SYUS.CASH.IP,So-Young International Inc ADR,N/A,TRADEABLE,-,SHARES,SY
SYENSBB,EA.D.SYENSBB.CASH.IP,Syensqo SA,N/A,TRADEABLE,-,SHARES,SY
SY1GY,ED.D.SY1GY.CASH.IP,Symrise AG,N/A,TRADEABLE,-,SHARES,SY
SYABGY,ED.D.SYABGY.CASH.IP,Synlab AG,N/A,OFFLINE,-,SHARES,SY
SYNSAMSS,EH.D.SYNSAMSS.CASH.IP,Synsam AB (publ),N/A,TRADEABLE,-,SHARES,SY
SYY,SG.D.SYY.CASH.IP,Sysco Corp (24 Hours),N/A,TRADEABLE,-,SHARES,SY
SYZGY,ED.D.SYZGY.CASH.IP,Syzygy AG,N/A,TRADEABLE,-,SHARES,SY
BACTLN,KA.D.BACTLN.CASH.IP,SYNC - Syncona Limited,N/A,TRADEABLE,-,SHARES,SY
SYMXUS,UD.D.SYMXUS.CASH.IP,Synthesis Energy Systems Inc,N/A,OFFLINE,-,SHARES,SY
SVFCUS,UD.D.SVFCUS.CASH.IP,Symbotic Inc,N/A,TRADEABLE,-,SHARES,SY
SNGLN,KC.D.SNGLN.CASH.IP,Synairgen PLC,N/A,OFFLINE,-,SHARES,SY
SYNA,UD.D.SYNA.CASH.IP,Synaptics Inc,N/A,TRADEABLE,-,SHARES,SY
SNXLN,KC.D.SNXLN.CASH.IP,Synectics PLC,N/A,TRADEABLE,-,SHARES,SY
SDGFP,EC.D.SDGFP.CASH.IP,Synergie SA,N/A,TRADEABLE,-,SHARES,SY
SYBXUS,UD.D.SYBXUS.CASH.IP,Synlogic Inc,N/A,OFFLINE,-,SHARES,SY
SNPS,UD.D.SNPS.CASH.IP,Synopsys Inc (24 Hours),N/A,TRADEABLE,-,SHARES,SY
YULC,KA.D.YULC.CASH.IP,Synthomer PLC,N/A,TRADEABLE,-,SHARES,SY
SYSLN,KC.D.SYSLN.CASH.IP,SysGroup PLC,N/A,TRADEABLE,-,SHARES,SY
6869JT,AJ.D.6869JT.CASH.IP,Sysmex Corp,N/A,EDITS_ONLY,-,SHARES,SY
SYSXUS,UD.D.SYSXUS.CASH.IP,Sysorex Inc,N/A,CLOSED,-,SHARES,SY
BJULN,KC.D.BJULN.CASH.IP,System1 Group,N/A,TRADEABLE,-,SHARES,SY
SYSRSS,EH.D.SYSRSS.CASH.IP,Systemair AB,N/A,TRADEABLE,-,SHARES,SY
3179JT,AJ.D.3179JT.CASH.IP,Syuppin Co Ltd,N/A,EDITS_ONLY,-,SHARES,SY
SNXUS,SG.D.SNXUS.CASH.IP,TD SYNNEX Corp,N/A,TRADEABLE,-,SHARES,SY
DDDUS,SB.D.DDDUS.CASH.IP,3D Systems Corp,N/A,TRADEABLE,-,SHARES,SY
ACLNSW,EJ.D.ACLNSW.CASH.IP,ABB Turbo Systems AG,N/A,TRADEABLE,-,SHARES,SY
ADBE,UA.D.ADBE.CASH.IP,Adobe Systems Inc (24 Hours),N/A,TRADEABLE,-,SHARES,SY
ASYSUS,UA.D.ASYSUS.CASH.IP,Amtech Systems Inc,N/A,TRADEABLE,-,SHARES,SY
BSYUS,UA.D.BSYUS.CASH.IP,Bentley Systems Inc,N/A,TRADEABLE,-,SHARES,SY
CASAUS,UA.D.CASAUS.CASH.IP,Casa Systems Inc,N/A,CLOSED,-,SHARES,SY
DCTHUS,UB.D.DCTHUS.CASH.IP,Delcath Systems Inc,N/A,TRADEABLE,-,SHARES,SY
